outcome,spec,variable,var_label,coef,se,pval,stars,N,R2,R2_adj
"CAR[-1,+1]",(1) Baseline,ai_mentioned,AI Mentioned (0/1),-1.9730034773666434,1.817543108695365,0.2776855455178804,,467,0.0011451496654818483,-0.0031602591721671125
"CAR[-1,+1]",(1) Baseline,post_genai,Post-GenAI (0/1),-0.2848519730154958,1.1462747613015776,0.8037457513250484,,467,0.0011451496654818483,-0.0031602591721671125
"CAR[-1,+1]",(1) Baseline,const,Constant,-0.4519738478900416,1.0260161329054303,0.6595653143671518,,467,0.0011451496654818483,-0.0031602591721671125
"CAR[-1,+1]",(2) Interaction,ai_mentioned,AI Mentioned (0/1),1.8220381805824515,1.2832434373557555,0.15564568525107866,,467,0.0018573877073089218,-0.004610059024608981
"CAR[-1,+1]",(2) Interaction,post_genai,Post-GenAI (0/1),-0.20506157726823143,1.165016371622287,0.8602813350163582,,467,0.0018573877073089218,-0.004610059024608981
"CAR[-1,+1]",(2) Interaction,ai_x_post,AI × Post-GenAI,-4.565869489919953,2.4718199412694264,0.0647226319265662,*,467,0.0018573877073089218,-0.004610059024608981
"CAR[-1,+1]",(2) Interaction,const,Constant,-0.508616260695242,1.038002823706453,0.624137391224098,,467,0.0018573877073089218,-0.004610059024608981
"CAR[-1,+1]",(3) Controls,ai_mentioned,AI Mentioned (0/1),2.570266268198505,2.1988599648256626,0.24244046827362908,,242,0.009802223866371751,-0.015479421481720879
"CAR[-1,+1]",(3) Controls,post_genai,Post-GenAI (0/1),0.9022828520648892,1.8540876859963444,0.6265097940444844,,242,0.009802223866371751,-0.015479421481720879
"CAR[-1,+1]",(3) Controls,ai_x_post,AI × Post-GenAI,-8.709466349309608,5.517820427675914,0.11446797894821167,,242,0.009802223866371751,-0.015479421481720879
"CAR[-1,+1]",(3) Controls,log_count,log(1 + Layoff Count),0.3779216399910431,0.6120945087934279,0.5369553113392371,,242,0.009802223866371751,-0.015479421481720879
"CAR[-1,+1]",(3) Controls,layoff_pct_n,Layoff % of Workforce,0.04085749521569585,0.12431814502618212,0.7424182025985352,,242,0.009802223866371751,-0.015479421481720879
"CAR[-1,+1]",(3) Controls,beta_mkt_ff4,Market Beta (β),-1.1434799068648511,1.9487620600190223,0.5573565356670758,,242,0.009802223866371751,-0.015479421481720879
"CAR[-1,+1]",(3) Controls,const,Constant,-2.937485793484439,3.833820990181843,0.44355542285126637,,242,0.009802223866371751,-0.015479421481720879
"CAR[-1,+1]",(4) Full + IFE,ai_mentioned,AI Mentioned (0/1),0.6183752216743124,5.422552512822999,0.9092079365978555,,242,0.14802923373797172,0.00809200642923269
"CAR[-1,+1]",(4) Full + IFE,post_genai,Post-GenAI (0/1),1.7116868994017957,2.02088684784718,0.39699629661283453,,242,0.14802923373797172,0.00809200642923269
"CAR[-1,+1]",(4) Full + IFE,ai_x_post,AI × Post-GenAI,-4.87290901429936,7.864174734942053,0.5354988634676907,,242,0.14802923373797172,0.00809200642923269
"CAR[-1,+1]",(4) Full + IFE,log_count,log(1 + Layoff Count),0.2503193865809864,0.687395625000893,0.7157413634778567,,242,0.14802923373797172,0.00809200642923269
"CAR[-1,+1]",(4) Full + IFE,layoff_pct_n,Layoff % of Workforce,0.09343854053536824,0.1383590390656148,0.4994636916431301,,242,0.14802923373797172,0.00809200642923269
"CAR[-1,+1]",(4) Full + IFE,beta_mkt_ff4,Market Beta (β),0.613734828888742,2.457118238719163,0.802758798148592,,242,0.14802923373797172,0.00809200642923269
"CAR[-1,+1]",(4) Full + IFE,intl,International Listing (0/1),2.2552723331499585,5.558194442194945,0.684921681006893,,242,0.14802923373797172,0.00809200642923269
"CAR[-1,+1]",(4) Full + IFE,const,Constant,-7.22556585329872,5.6559963096833545,0.20142387361867764,,242,0.14802923373797172,0.00809200642923269
"CAR[0,+20]",(1) Baseline,ai_mentioned,AI Mentioned (0/1),-1.7208249029846878,6.118477415465607,0.7785182648887261,,467,0.00476147365970403,0.00047165242547853037
"CAR[0,+20]",(1) Baseline,post_genai,Post-GenAI (0/1),-2.9706979057436307,2.237584228625733,0.18429830728952978,,467,0.00476147365970403,0.00047165242547853037
"CAR[0,+20]",(1) Baseline,const,Constant,3.923565430039732,1.944312544256671,0.043594329841660874,**,467,0.00476147365970403,0.00047165242547853037
"CAR[0,+20]",(2) Interaction,ai_mentioned,AI Mentioned (0/1),14.116217417803131,54.42856389997147,0.7953628035741054,,467,0.00793273514924453,0.0015046535195420985
"CAR[0,+20]",(2) Interaction,post_genai,Post-GenAI (0/1),-2.637725572858916,2.2032031713896045,0.2312196363771839,,467,0.00793273514924453,0.0015046535195420985
"CAR[0,+20]",(2) Interaction,ai_x_post,AI × Post-GenAI,-19.05377459865188,54.52241789840343,0.7267388955798133,,467,0.00793273514924453,0.0015046535195420985
"CAR[0,+20]",(2) Interaction,const,Constant,3.687191664057832,1.92616072613171,0.05558566751899718,*,467,0.00793273514924453,0.0015046535195420985
"CAR[0,+20]",(3) Controls,ai_mentioned,AI Mentioned (0/1),15.875441188956636,50.06845628536124,0.7511869150721919,,242,0.020617080790863218,-0.004388440550646688
"CAR[0,+20]",(3) Controls,post_genai,Post-GenAI (0/1),1.2326663002944023,3.057286535318693,0.6868087101804548,,242,0.020617080790863218,-0.004388440550646688
"CAR[0,+20]",(3) Controls,ai_x_post,AI × Post-GenAI,-14.05547270451122,50.188768651135504,0.7794374929361575,,242,0.020617080790863218,-0.004388440550646688
"CAR[0,+20]",(3) Controls,log_count,log(1 + Layoff Count),0.26221496660121185,0.8328578467762215,0.7528849608299402,,242,0.020617080790863218,-0.004388440550646688
"CAR[0,+20]",(3) Controls,layoff_pct_n,Layoff % of Workforce,0.29550668471224517,0.23095510805702094,0.20072161262027544,,242,0.020617080790863218,-0.004388440550646688
"CAR[0,+20]",(3) Controls,beta_mkt_ff4,Market Beta (β),0.4180469296026727,4.020046008573722,0.9171768214365534,,242,0.020617080790863218,-0.004388440550646688
"CAR[0,+20]",(3) Controls,const,Constant,-5.472134382308459,6.94936271899968,0.43103038474353417,,242,0.020617080790863218,-0.004388440550646688
"CAR[0,+20]",(4) Full + IFE,ai_mentioned,AI Mentioned (0/1),12.728910576633579,61.538661076718775,0.8361315935676709,,242,0.14577959449259892,0.005472861220851777
"CAR[0,+20]",(4) Full + IFE,post_genai,Post-GenAI (0/1),0.3221659393314543,3.5049827405439284,0.9267643380452979,,242,0.14577959449259892,0.005472861220851777
"CAR[0,+20]",(4) Full + IFE,ai_x_post,AI × Post-GenAI,-6.505741988662762,61.86092841974404,0.9162431195555235,,242,0.14577959449259892,0.005472861220851777
"CAR[0,+20]",(4) Full + IFE,log_count,log(1 + Layoff Count),0.37344883370340143,1.0983894347825824,0.7338589784080933,,242,0.14577959449259892,0.005472861220851777
"CAR[0,+20]",(4) Full + IFE,layoff_pct_n,Layoff % of Workforce,0.3335569800423144,0.2495042951624104,0.18126223159174093,,242,0.14577959449259892,0.005472861220851777
"CAR[0,+20]",(4) Full + IFE,beta_mkt_ff4,Market Beta (β),2.185729586077599,5.178040112883358,0.6729409129107218,,242,0.14577959449259892,0.005472861220851777
"CAR[0,+20]",(4) Full + IFE,intl,International Listing (0/1),1.9420501340354241,9.827100717947395,0.8433409134351767,,242,0.14577959449259892,0.005472861220851777
"CAR[0,+20]",(4) Full + IFE,const,Constant,-14.4809406721532,11.087554985709518,0.1915343438119428,,242,0.14577959449259892,0.005472861220851777
"CAR[-5,+60]",(1) Baseline,ai_mentioned,AI Mentioned (0/1),-22.19701628017679,7.722312400513219,0.004047956833012065,***,467,0.022659939180867505,0.0184472665049229
"CAR[-5,+60]",(1) Baseline,post_genai,Post-GenAI (0/1),-7.865731479123573,3.7643064676250644,0.03665764726308531,**,467,0.022659939180867505,0.0184472665049229
"CAR[-5,+60]",(1) Baseline,const,Constant,11.818175361967022,3.3185477433502113,0.00036909462111232394,***,467,0.022659939180867505,0.0184472665049229
"CAR[-5,+60]",(2) Interaction,ai_mentioned,AI Mentioned (0/1),-64.98991028993414,31.166489496906397,0.03704664817234718,**,467,0.030737794176178168,0.024457477507773384
"CAR[-5,+60]",(2) Interaction,post_genai,Post-GenAI (0/1),-8.765448071445675,3.773238753972,0.020176099507309024,**,467,0.030737794176178168,0.024457477507773384
"CAR[-5,+60]",(2) Interaction,ai_x_post,AI × Post-GenAI,51.48474951131887,31.513592903816825,0.10231524040090131,,467,0.030737794176178168,0.024457477507773384
"CAR[-5,+60]",(2) Interaction,const,Constant,12.456875272560541,3.3271808319887195,0.00018113311077318377,***,467,0.030737794176178168,0.024457477507773384
"CAR[-5,+60]",(3) Controls,ai_mentioned,AI Mentioned (0/1),-63.44084281741325,37.455897623871486,0.09031322412716081,*,242,0.04138733782910908,0.01691212092261818
"CAR[-5,+60]",(3) Controls,post_genai,Post-GenAI (0/1),-6.816231783221598,5.547195340854635,0.21915774387858844,,242,0.04138733782910908,0.01691212092261818
"CAR[-5,+60]",(3) Controls,ai_x_post,AI × Post-GenAI,57.017497920985676,38.97496249831908,0.1434875449294305,,242,0.04138733782910908,0.01691212092261818
"CAR[-5,+60]",(3) Controls,log_count,log(1 + Layoff Count),2.2305470310796665,1.4863980279194386,0.1334489268750468,,242,0.04138733782910908,0.01691212092261818
"CAR[-5,+60]",(3) Controls,layoff_pct_n,Layoff % of Workforce,0.22164275834398922,0.38865645707176416,0.5684882328536474,,242,0.04138733782910908,0.01691212092261818
"CAR[-5,+60]",(3) Controls,beta_mkt_ff4,Market Beta (β),0.09013743367288468,6.553373561314957,0.9890259576342976,,242,0.04138733782910908,0.01691212092261818
"CAR[-5,+60]",(3) Controls,const,Constant,-5.9423766216490765,13.219986305616306,0.6530714021212944,,242,0.04138733782910908,0.01691212092261818
"CAR[-5,+60]",(4) Full + IFE,ai_mentioned,AI Mentioned (0/1),-78.89847113062072,23.2818877036803,0.0007019028520837628,***,242,0.16979514361507553,0.033432993290981594
"CAR[-5,+60]",(4) Full + IFE,post_genai,Post-GenAI (0/1),-9.590870759749343,6.014251815732736,0.1107814439693187,,242,0.16979514361507553,0.033432993290981594
"CAR[-5,+60]",(4) Full + IFE,ai_x_post,AI × Post-GenAI,69.71831571299074,35.67533920738902,0.0506723742724157,*,242,0.16979514361507553,0.033432993290981594
"CAR[-5,+60]",(4) Full + IFE,log_count,log(1 + Layoff Count),1.3226919742479457,1.9285363150732637,0.4928059556237816,,242,0.16979514361507553,0.033432993290981594
